,Position,Velocity,Torque,Current
471,2144974.0,334250.0,15.04,5297.6
472,2145299.0,331000.0,14.72,5307.5
473,2145626.0,329000.0,15.04,5316.3
474,2145950.0,326750.0,15.68,5327.3
475,2146275.0,325250.0,16.32,5338.3
476,2146600.0,325250.0,16.96,5348.2
477,2146927.0,325250.0,16.96,5357.0
478,2147255.0,326250.0,16.0,5363.6
479,2147585.0,327500.0,16.0,5369.1
480,2147915.0,328750.0,16.0,5373.5
481,2148245.0,329500.0,15.68,5379.0
482,2148579.0,331000.0,16.96,5379.0
483,2148913.0,332000.0,17.28,5380.1
484,2149246.0,332750.0,17.6,5381.2
485,2149581.0,334000.0,17.92,5381.2
486,2149912.0,333250.0,16.96,5384.5
487,2150245.0,333000.0,16.32,5386.7
488,2150576.0,332500.0,16.64,5390.0
489,2150905.0,331000.0,19.2,5396.6
490,2151233.0,330250.0,19.52,5403.2
491,2151558.0,328250.0,20.16,5414.2
492,2151886.0,327500.0,20.48,5420.8
493,2152211.0,326500.0,21.12,5431.8
494,2152542.0,327250.0,19.52,5435.1
495,2152874.0,329000.0,18.24,5438.4
496,2153209.0,330750.0,17.92,5437.3
497,2153547.0,334000.0,17.28,5434.0
498,2153886.0,336000.0,17.92,5428.5
499,2154230.0,339000.0,16.96,5418.6
500,2154575.0,341500.0,16.64,5406.5
501,2154917.0,342500.0,16.64,5398.8
502,2155263.0,344250.0,15.68,5385.6
503,2155608.0,344500.0,13.76,5374.6
504,2155949.0,343500.0,13.76,5366.9
505,2156291.0,343500.0,13.44,5359.2
506,2156633.0,342500.0,14.08,5350.4
507,2156972.0,341000.0,14.08,5346.0
508,2157311.0,340500.0,14.4,5340.5
509,2157652.0,340250.0,14.72,5333.9
510,2157989.0,339000.0,14.72,5330.6
511,2158330.0,339500.0,14.4,5324.0
512,2158671.0,340000.0,14.4,5316.3
513,2159008.0,339000.0,14.4,5314.1
514,2159349.0,340000.0,14.72,5306.4
515,2159689.0,339750.0,14.72,5300.9
516,2160027.0,339000.0,15.36,5296.5
517,2160366.0,339500.0,15.68,5292.1
518,2160703.0,338500.0,16.32,5288.8
519,2161037.0,337000.0,16.32,5289.9
520,2161371.0,336000.0,16.64,5289.9
521,2161701.0,333750.0,16.96,5295.4
522,2162030.0,331750.0,16.64,5300.9
523,2162356.0,329750.0,17.6,5310.8
524,2162680.0,327250.0,18.56,5321.8
525,2163004.0,325750.0,19.2,5333.9
526,2163329.0,324750.0,20.48,5343.8
527,2163656.0,325000.0,21.12,5352.6
528,2163983.0,325750.0,19.84,5360.3
529,2164314.0,327500.0,19.84,5364.7
530,2164643.0,328500.0,17.28,5370.2
531,2164976.0,330000.0,17.6,5372.4
532,2165309.0,331500.0,17.6,5373.5
533,2165642.0,332000.0,17.6,5375.7
534,2165973.0,332500.0,18.88,5379.0
535,2166302.0,331500.0,19.2,5385.6
536,2166633.0,331000.0,18.56,5388.9
537,2166961.0,329750.0,19.2,5396.6
538,2167288.0,328750.0,16.32,5404.3
539,2167616.0,328500.0,16.64,5412.0
540,2167943.0,327500.0,17.28,5419.7
541,2168272.0,327750.0,17.6,5426.3
542,2168599.0,327750.0,18.88,5434.0
543,2168931.0,328750.0,20.48,5437.3
544,2169265.0,330500.0,19.84,5437.3
545,2169601.0,332250.0,19.84,5436.2
546,2169940.0,335250.0,17.92,5430.7
547,2170278.0,336750.0,16.64,5427.4
548,2170622.0,339250.0,16.96,5416.4
549,2170967.0,341500.0,16.96,5405.4
550,2171311.0,342750.0,17.6,5394.4
551,2171656.0,344500.0,18.88,5383.4
552,2172003.0,345250.0,18.88,5369.1
553,2172348.0,345250.0,17.6,5358.1
554,2172692.0,345250.0,15.36,5347.1
555,2173034.0,344500.0,16.0,5339.4
556,2173375.0,343000.0,16.64,5331.7
557,2173713.0,341250.0,16.96,5328.4
558,2174051.0,339750.0,17.28,5324.0
559,2174388.0,338500.0,18.24,5321.8
560,2174726.0,337750.0,18.24,5317.4
561,2175065.0,338000.0,16.96,5313.0
562,2175403.0,338000.0,15.36,5308.6
563,2175743.0,338750.0,15.36,5303.1
564,2176083.0,339250.0,15.36,5296.5
565,2176418.0,338250.0,15.36,5296.5
566,2176755.0,338000.0,15.36,5293.2
567,2177088.0,336250.0,15.36,5295.4
568,2177419.0,334000.0,15.36,5298.7
569,2177748.0,332500.0,15.04,5305.3
570,2178074.0,329750.0,14.72,5314.1
571,2178401.0,328250.0,15.04,5322.9
572,2178724.0,326250.0,15.68,5335.0
573,2179049.0,325250.0,16.32,5346.0
574,2179374.0,325000.0,16.32,5355.9
575,2179700.0,324750.0,16.64,5365.8
576,2180028.0,326000.0,16.96,5372.4
577,2180357.0,327000.0,16.32,5379.0
578,2180689.0,328750.0,16.32,5381.2
579,2181019.0,329750.0,16.64,5386.7
580,2181353.0,331250.0,17.28,5386.7
581,2181686.0,332250.0,17.28,5388.9
582,2182019.0,332500.0,17.6,5390.0
583,2182354.0,333750.0,16.96,5390.0
584,2182684.0,332750.0,16.64,5394.4
585,2183017.0,332750.0,17.28,5396.6
586,2183347.0,332000.0,16.0,5401.0
587,2183677.0,330750.0,18.88,5406.5
588,2184005.0,330250.0,19.2,5413.1
589,2184331.0,328500.0,20.16,5423.0
590,2184658.0,327750.0,20.48,5430.7
591,2184985.0,327000.0,19.84,5439.5
592,2185315.0,327500.0,19.2,5443.9
593,2185648.0,329250.0,19.2,5446.1
594,2185983.0,331250.0,19.2,5445.0
595,2186323.0,334500.0,18.24,5439.5
596,2186662.0,336750.0,17.92,5434.0
597,2187006.0,339500.0,16.64,5424.1
598,2187350.0,341750.0,16.32,5413.1
599,2187693.0,342500.0,15.36,5404.3
600,2188037.0,343750.0,14.72,5393.3
601,2188380.0,343500.0,15.04,5384.5
602,2188721.0,342750.0,14.4,5376.8
603,2189063.0,342500.0,14.08,5369.1
604,2189404.0,341750.0,14.08,5361.4
605,2189744.0,341000.0,14.4,5355.9
606,2190083.0,340500.0,14.4,5350.4
607,2190423.0,340000.0,14.72,5344.9
608,2190761.0,339250.0,14.4,5340.5
609,2191101.0,339250.0,15.04,5335.0
610,2191442.0,339750.0,15.04,5327.3
611,2191780.0,339250.0,14.4,5324.0
612,2192121.0,340000.0,14.4,5316.3
613,2192462.0,340250.0,14.72,5309.7
614,2192799.0,339250.0,15.36,5306.4
615,2193139.0,339750.0,16.0,5300.9
616,2193476.0,338750.0,16.0,5297.6
617,2193810.0,337000.0,16.64,5298.7
618,2194144.0,336250.0,17.6,5298.7
619,2194474.0,333750.0,16.32,5304.2
620,2194803.0,331750.0,16.64,5309.7
621,2195129.0,329750.0,17.92,5319.6
622,2195454.0,327500.0,18.88,5329.5
623,2195779.0,326250.0,19.84,5340.5
624,2196102.0,324750.0,20.48,5352.6
625,2196430.0,325250.0,20.8,5360.3
626,2196755.0,325250.0,21.12,5370.2
627,2197087.0,327000.0,18.56,5373.5
628,2197417.0,328750.0,17.6,5377.9
629,2197750.0,330000.0,17.92,5380.1
630,2198084.0,332250.0,17.92,5380.1
631,2198415.0,332000.0,18.24,5384.5
632,2198747.0,332500.0,18.88,5386.7
